index;nome_produto;categoria;nome_produto_processed;categoria_encoded;pred_encode;categoria_pred
1838;COXA C/SBCOXA DAGRANJA SEARA S/O IQF 1KG;AVE RESFRIADA;coxa com sbcoxa dagranja seara sem o iqf 1 kg;33;32;AVE CONGELADA
7640;FIO DENTAL GUM FLOSSERS KIDS UVA 40UN;FIO/FITA DENTAL;fio dental gum flossers kids uva 40 un;129;129;FIO/FITA DENTAL
12406;PH FS JUMUPEL 8X30M;PAPEL HIGIÊNICO;ph fs jumupel 8x30m;222;222;PAPEL HIGIÊNICO
12844;MUDA CRISANT MINI P13;PLANTAS, FLORES E ACESSÓRIOS;muda crisant mini p13;234;234;PLANTAS, FLORES E ACESSÓRIOS
1426;SACO PAPEL LANCHE HOT DOG C/50;ARTIGOS PARA FESTAS;saco papel lanche hot dog com 50;23;265;SACOS
8303;GELEIA POL DANA DAMASCO 454G-VD;GELÉIA;geleia pol dana damasco 454 g-vd;141;141;GELÉIA
17456;ASSADEIRA MARINEX OVAL G 4.2L;UTENSÍLIOS DE VIDRO;assadeira marinex oval g 42 l;303;303;UTENSÍLIOS DE VIDRO
13014;PRESERV PRUDENCE CORES/SABORES HORTELA C/3UN;PRESERVATIVO;preserv prudence coressabores hortela com 3 un;241;241;PRESERVATIVO
1619;FILTRO BLINDADO LUBRIF TM2 PSL34MP;AUTOMOTIVO FILTROS;filtro blindado lubrif tm2 psl34mp;28;28;AUTOMOTIVO FILTROS
6330;DES AERO REXONA V8 150ML GTS 30ML;DESODORANTE MASCULINO;des aero rexona v8 150 ml gts 30ml;99;98;DESODORANTE FEMININO
8944;BEB LACTEA LIQ PAULISTA 170G, MOR;IOGURTE;beb lactea liq paulista 170 g mor;155;155;IOGURTE
13393;PAO DE PANES 500G SOVADO;PÃES;pao de panes 500 g sovado;247;247;PÃES
8736;LAMPADA TASCHIBRA VELA LISA LEIT 40W 220;ILUMINAÇÃO;lampada taschibra vela lisa leit 40w 220;153;153;ILUMINAÇÃO
7418;FAR MILHO KISABOR AMARELA 2KG;FARINÁCEO;far milho kisabor amarela 2 kg;124;124;FARINÁCEO
6454;DOCE FESTA BRIGAD BOM DA FESTA POUCH 385G;DOCE FESTA;doce festa brigad bom da festa pouch 385 g;101;23;ARTIGOS PARA FESTAS
403;ESCOVA CAB MARCO BONI VAZADA WAVE 7566;ACESSÓRIOS PARA CABELO;escova cab marco boni vazada wave 7566;6;6;ACESSÓRIOS PARA CABELO
17389;COPO CATUAI JUICE DRINK 285ML .;UTENSÍLIOS DE VIDRO;copo catuai juice drink 285 ml ;303;303;UTENSÍLIOS DE VIDRO
16094;PERNIL SUINO C/OSSO TEMP.RESF.PAMPLONAKG;SUÍNO RESFRIADO;pernil suino com osso tempresfpamplonakg;284;284;SUÍNO RESFRIADO
14189;SAB BAR REXONA MEN SPORT 84G;SABONETE BARRA;sab bar rexona men sport 84 g;259;259;SABONETE BARRA
2210;TOALHA BARRA JACQUARD PRATA VITRI ROSTO CINZA;BANHO;toalha barra jacquard prata vitri rosto cinza;39;39;BANHO
5448;PIMENTA BIQUINHO 450G-PT;CONDIMENTO NATURAL;pimenta biquinho 450 g-pt;79;79;CONDIMENTO NATURAL
11751;CEREAL INF MUCILON ARROZ/AVEIA 230G-SACHE;NUTRIÇÃO INFANTIL;cereal inf mucilon arrozaveia 230 g-sache;213;213;NUTRIÇÃO INFANTIL
3292;CAFETEIRA ELECTROLUX 25X VD 220V CMB21;CAFETEIRA/CHALEIRA ELETRICA;cafeteira electrolux 25x vd 220v cmb21;53;53;CAFETEIRA/CHALEIRA ELETRICA
13117;CHUPETA FIONA BABY TAM2 AZUL 829520;PUERICULTURA;chupeta fiona baby tam2 azul 829520;245;245;PUERICULTURA
10333;LINGUIÇA PORTUGUESA PERDIGÃO KG;LINGUIÇA;linguia portuguesa perdigo kg;181;181;LINGUIÇA
7890;Goji Berry  Desidratada - 1kg;FRUTA DESIDRATADA;goji berry desidratada - 1 kg;134;137;FRUTAS
332;ESC CAB RICCA BLACK&PINK OVAL 2408;ACESSÓRIOS PARA CABELO;esc cab ricca blackpink oval 2408;6;6;ACESSÓRIOS PARA CABELO
7899;ABACAXI CALDA MARINAS PORTO 400G .;FRUTA EM CALDA;abacaxi calda marinas porto 400 g ;135;135;FRUTA EM CALDA
15263;SH TRESEMME LISO SEDOSO 750ML;SHAMPOO;sh tresemme liso sedoso 750 ml;273;273;SHAMPOO
7571;FEIJAO AZUKI CAMPO VERDE EX.500G;FEIJÃO;feijao azuki campo verde ex500 g;125;125;FEIJÃO
14410;SAB LIQ ANTIBAC PROTEX PRO HIDRATA ARGAN 250ML;SABONETE LÍQUIDO;sab liq antibac protex pro hidrata argan 250 ml;261;261;SABONETE LÍQUIDO
4682;COCADA RESERVA M 650GR CREMOSA .;COCADA;cocada reserva m 650 gr cremosa ;71;71;COCADA
11833;CESTO ARTHI FLEXIVEL 24L BC 1599;ORGANIZADOR;cesto arthi flexivel 24 l bc 1599;215;215;ORGANIZADOR
10795;MASSA ROLINHO PRIMAV LONGWAY 450G CONG 30 FOLHAS;MASSA FRESCA;massa rolinho primav longway 450 g cong 30 folhas;191;193;MASSA SECA
5383;PIMENTA CALABRESA SIAMAR 20G;CONDIMENTO NATURAL;pimenta calabresa siamar 20 g;79;79;CONDIMENTO NATURAL
3068;PALETA BOV BEST BEEF ANGUS (PEDACO) KG;BOVINO RESFRIADO;paleta bov best beef angus pedaco kg;48;48;BOVINO RESFRIADO
7534;FEIJAO PRETO 1KG CB;FEIJÃO;feijao preto 1 kg cb;125;125;FEIJÃO
3202;BONECO AVENGERS MARVEL WINTER SOLDIER;BRINQUEDOS MENINOS;boneco avengers marvel winter soldier;51;51;BRINQUEDOS MENINOS
14924;APERITIVO AMPM QUEIJO PCT 90G;SALGADINHO E APERITIVO;aperitivo ampm queijo pct 90 g;269;269;SALGADINHO E APERITIVO
8820;LUMINARIA DE PLASTICO ORNAMENTAL COM LED -DAISO;ILUMINAÇÃO;luminaria de plastico ornamental com led -daiso;153;153;ILUMINAÇÃO
13118;CHUPETA KUKA PREMIUM ORTO N.1 1UN ROSA;PUERICULTURA;chupeta kuka premium orto n1 1 un rosa;245;245;PUERICULTURA
686;ALIM CAO BOB DOG FILHOTES PCT 3KG;ALIMENTO PARA CÃES;alim cao bob dog filhotes pct 3 kg;12;12;ALIMENTO PARA CÃES
2609;BISCOITO DE COCO kg;BISCOITO;biscoito de coco kg;44;44;BISCOITO
14520;SACO LIXO KS EXPRESS 15L PRETO COM 60;SACOS;saco lixo ks express 15 l preto com 60;265;265;SACOS
11284;MEIA LOBA ESSENCIAL PRETA M 5770-1;MEIA;meia loba essencial preta m 5770-1;196;196;MEIA
12063;OVO BRANCO GALINHA ALHO PROCES RANCHO LUA GDE 12UN -RESD;OVOS;ovo branco galinha alho proces rancho lua gde 12 un -resd;217;217;OVOS
11337;JOGO AMERICANO YOI TRESS 8105070033;MESA;jogo americano yoi tress 8105070033;198;198;MESA
1408;GARFO REGINA PLAST C/50 REFEICAO BRANCO;ARTIGOS PARA FESTAS;garfo regina plast com 50 refeicao branco;23;23;ARTIGOS PARA FESTAS
2312;BARRA CEREAL TRIO BAN MEL 60G;BARRA DE CEREAL;barra cereal trio ban mel 60 g;40;40;BARRA DE CEREAL
8523;LOCAO HIDRAT NIVEA BANHO SOFT MILK 250ML;HIDRATAÇÃO PARA O CORPO;locao hidrat nivea banho soft milk 250 ml;147;147;HIDRATAÇÃO PARA O CORPO
17974;VINAGRE BALSAMICO GALLO 250ML;VINAGRE;vinagre balsamico gallo 250 ml;310;310;VINAGRE
15801;NECTAR MAGUARY STEVIA MARACUJA 1L;SUCO PRONTO/NECTAR;nectar maguary stevia maracuja 1 l;281;281;SUCO PRONTO/NECTAR
11714;COMPOSTO NINHO LACT VEG PREBIO 400G, 3+;NUTRIÇÃO INFANTIL;composto ninho lact veg prebio 400 g 3+;213;213;NUTRIÇÃO INFANTIL
8676;DEO COLONIA DR ANIMAL 120ML FEMEA;HIGIENE/LIMPEZA PET SHOP;deo colonia dr animal 120 ml femea;152;230;PERFUMAÇÃO
1817;COXA SOBRECOXA FRANGO COPACOL S/O/P 600G;AVE RESFRIADA;coxa sobrecoxa frango copacol sem op 600 g;33;33;AVE RESFRIADA
4334;CHAMP FREIXENET BARROCO 750ML ESANHOL;CHAMPAGNE;champ freixenet barroco 750 ml esanhol;64;275;SIDRA/ESPUMANTE
442;TAPETE HIG CAO TURMA PINICAO PCT C/14;ACESSÓRIOS PET;tapete hig cao turma pinicao pct com 14;7;152;HIGIENE/LIMPEZA PET SHOP
2518;BISC ROSQ PARATI COCO 335G;BISCOITO;bisc rosq parati coco 335 g;44;44;BISCOITO
11987;PASCOA MINI OVO NESTLE ALPINO 130G;OVO DE PÁSCOA;pascoa mini ovo nestle alpino 130 g;216;216;OVO DE PÁSCOA
7225;PALHA DE ACO INOX PARA USO EM COZINHA CO -DAISO;ESPONJA DE AÇO;palha de aco inox para uso em cozinha co -daiso;119;296;UTENSÍLIOS DE INOX/ALUMÍNIO
12013;PASCOA OVO GAROTO OPERETA 225G;OVO DE PÁSCOA;pascoa ovo garoto opereta 225 g;216;216;OVO DE PÁSCOA
998;AMIDO MILHO SINHA 500G PCT;AMIDO DE MILHO;amido milho sinha 500 g pct;17;17;AMIDO DE MILHO
2773;BALA FINI URSINHO CITRICO 110G;BOMBONIERE;bala fini ursinho citrico 110 g;46;46;BOMBONIERE
4523;CHA TWININGS PRETO LIMAO CX 20G;CHÁ;cha twinings preto limao cx 20 g;67;67;CHÁ
4769;T.MAXTON KIT PRATICO 4.77 MARR.CAFE;COLORAÇÃO FEMININA;tmaxton kit pratico 477 marrcafe;74;74;COLORAÇÃO FEMININA
5068;SUSHI MAKI CAMARAO C/QUEIJO KG;COMIDA ORIENTAL;sushi maki camarao com queijo kg;76;76;COMIDA ORIENTAL
14557;SACO LIXO KOKINOS PTO REFORC 50L C/10;SACOS;saco lixo kokinos pto reforc 50 l com 10;265;265;SACOS
758;OSSO DUGS BACON/NAT C2 FANTASIA;ALIMENTO PARA CÃES;osso dugs baconnat c2 fantasia;12;12;ALIMENTO PARA CÃES
1960;AZEITE OLIVA FILIPPO BERIO SE E V 500ML;AZEITE;azeite oliva filippo berio se e v 500 ml;35;35;AZEITE
2851;CHICLE BIGBIG HORTELA 350G- DY C/100;BOMBONIERE;chicle bigbig hortela 350 g- dy com 100;46;46;BOMBONIERE
517;ASSUGRIN ADOCANTE C/SUCRALOSE 100ml;ADOÇANTE;assugrin adocante com sucralose 100 ml;8;8;ADOÇANTE
1531;ESTOPA BRANCA LIMPOPLUS 150G;AUTOMOTIVO ESTOPA/ ESPONJA / LUVA / PANOS;estopa branca limpoplus 150 g;27;27;AUTOMOTIVO ESTOPA/ ESPONJA / LUVA / PANOS
18124;VINHO PORT TITULAR JAEN 750ML DAO DOC TT;VINHO;vinho port titular jaen 750 ml dao doc tt;311;311;VINHO
7516;FAROFA MAND TOQUE CLASSE 250G;FARINÁCEO;farofa mand toque classe 250 g;124;124;FARINÁCEO
1906;AVEIA SIAMAR 500GR FLOCOS .;AVEIA;aveia siamar 500 gr flocos ;34;34;AVEIA
9965;LIMPA VIDROS BRILUX 500ML SPR C/ALC;LIMPA VIDROS;limpa vidros brilux 500 ml spr com alc;174;174;LIMPA VIDROS
11501;MOLHO DE PIMENTA 900ml CUMARI;MOLHO DE PIMENTA;molho de pimenta 900 ml cumari;205;205;MOLHO DE PIMENTA
5833;CR DENT CREME COLGATE TOTAL 12 90G LV12 GTS3CD SENSIT.PRO ALI;CREME/GEL DENTAL ADULTO;cr dent creme colgate total 12 90 g lv12 gts3cd sensitpro ali;87;87;CREME/GEL DENTAL ADULTO
7018;ESM RISQUE COLECOES DOCE ORGULHO;ESMALTE;esm risque colecoes doce orgulho;116;116;ESMALTE
6716;EMPADA FGO C/PALMITO kg .;EMPADA;empada fgo com palmito kg ;106;106;EMPADA
13549;PAO DE ALHO D`ROMA PICANTE 300G;PÃO DE ALHO;pao de alho droma picante 300 g;248;248;PÃO DE ALHO
6269;DES ROLL SKALA L.ARROZ/ROSAS 60ML;DESODORANTE FEMININO;des roll skala larrozrosas 60 ml;98;98;DESODORANTE FEMININO
1814;FIESTA SEARA DESSOSADO KG TEMP;AVE RESFRIADA;fiesta seara dessosado kg temp;33;33;AVE RESFRIADA
14543;SACO ORDENE VAC BAG EX-G 55600;SACOS;saco ordene vac bag ex-g 55600;265;265;SACOS
17432;GARRAFA VD YANGZI MIRROR 1L PRATA;UTENSÍLIOS DE VIDRO;garrafa vd yangzi mirror 1 l prata;303;303;UTENSÍLIOS DE VIDRO
3110;BIFE CONTRA FILE SWIFT KG;BOVINO RESFRIADO;bife contra file swift kg;48;47;BOVINO CONGELADO
14125;REQUEIJAO TRADICIONAL SC 250G;REQUEIJÃO;requeijao tradicional sc 250 g;256;256;REQUEIJÃO
11074;CADERNO TILIBRA CD UNIV 10M 200F KISS;MATERIAL ESCOLAR;caderno tilibra cd univ 10m 200f kiss;195;195;MATERIAL ESCOLAR
13004;PRESERV BLOWTEX C/3 HOT QUENTE;PRESERVATIVO;preserv blowtex com 3 hot quente;241;241;PRESERVATIVO
14280;SAB BAR ANTIBAC PROTEX ERVA- DOCE 130G;SABONETE BARRA;sab bar antibac protex erva- doce 130 g;259;259;SABONETE BARRA
14029;REMOVEDOR SUPREMA FLORATA 1L;REMOVEDOR;removedor suprema florata 1 l;254;254;REMOVEDOR
1841;SOBRECOXA FRANGO NAT RESF BJ 800G;AVE RESFRIADA;sobrecoxa frango nat resf bj 800 g;33;33;AVE RESFRIADA
15468;ESPUMANTE LIRICA CRUA BRUT 750ML;SIDRA/ESPUMANTE;espumante lirica crua brut 750 ml;275;275;SIDRA/ESPUMANTE
15372;SHAMP HELLO KITTY 260ML CAB CACHEAD;SHAMPOO INFANTIL;shamp hello kitty 260 ml cab cachead;274;273;SHAMPOO
12279;SACO PANO ALKLIN ALG ALV XADREZ 38X60CM;PANOS/FLANELAS;saco pano alklin alg alv xadrez 38x60 cm;220;220;PANOS/FLANELAS
8451;HAMB MISTER BEEF 56g;HAMBÚRGUER;hamb mister beef 56 g;145;145;HAMBÚRGUER
2425;BEB SOJA ADES PESSEGO ZERO 1L;BEBIDA A BASE DE SOJA;beb soja ades pessego zero 1 l;42;42;BEBIDA A BASE DE SOJA
15645;SORVETE PALETITAS GREGO BLUEBERRY 1,8LT;SORVETE;sorvete paletitas grego blueberry 18 lt;278;278;SORVETE
8452;HAMB. SEARA TEXAS BURGUER 90G MISTO;HAMBÚRGUER;hamb seara texas burguer 90 g misto;145;145;HAMBÚRGUER
9789;LEITE PO INTEGRAL ITAMBE 1KG;LEITE EM PÓ;leite po integral itambe 1 kg;168;168;LEITE EM PÓ
12468;CJ CLIPS JOIE CORUJA C/2 10117;PAPELARIA;cj clips joie coruja com 2 10117;224;224;PAPELARIA
12714;BACON KASSEL LOMBO kg;PERTENCES FEIJOADA;bacon kassel lombo kg;231;231;PERTENCES FEIJOADA
16513;LUSTRA MOVEIS TRIEX JASMIN 200ML;TRATAMENTO DE MÓVEIS;lustra moveis triex jasmin 200 ml;293;293;TRATAMENTO DE MÓVEIS
17152;PRATO RASO 26CM, BEAUTY;UTENSÍLIOS DE PORCELANA/CERÂMICA;prato raso 26 cm beauty;301;301;UTENSÍLIOS DE PORCELANA/CERÂMICA
5361;CHIMICHURRI CHELLI PCT 30G;CONDIMENTO NATURAL;chimichurri chelli pct 30 g;79;79;CONDIMENTO NATURAL
4304;CERV LEFFE BLONDE ONE WAY LN 330ML;CERVEJA;cerv leffe blonde one way ln 330 ml;63;63;CERVEJA
16598;CAIXA TERMICA 32L TERMOLAR VERDE;TÉRMICOS;caixa termica 32 l termolar verde;295;295;TÉRMICOS
11506;MOLHO TOSCANO 1L PIMENTA VERMELHA .;MOLHO DE PIMENTA;molho toscano 1 l pimenta vermelha ;205;205;MOLHO DE PIMENTA
16180;TV LG 49 LED ULTRA HD 4K SM 49UK6310;TELEVISÃO;tv lg 49 led ultra hd 4k sm 49uk6310;287;287;TELEVISÃO
7813;FRALDA BANNY BABY EX GDE C/20;FRALDA INFANTIL;fralda banny baby ex gde com 20;133;133;FRALDA INFANTIL
13321;ODORIZ PEDRA BIOLIMP 1UN, FLORAL;PURIFICADOR DE AR;odoriz pedra biolimp 1 un floral;246;30;AUTOMOTIVO ODORIZADOR
17675;VASO ACASA N CERAM RX 465;VASOS;vaso acasa ceram rx 465;305;305;VASOS
14914;SALG DORITOS SWEET CHILI PCT 96G;SALGADINHO E APERITIVO;salg doritos sweet chili pct 96 g;269;269;SALGADINHO E APERITIVO
16713;MARMITA ARCO IRIS 5 PRATOS .;UTENSÍLIOS DE INOX/ALUMÍNIO;marmita arco iris 5 pratos ;296;296;UTENSÍLIOS DE INOX/ALUMÍNIO
15953;SUCO CAMPO LARGO UVA LEV 250ML;SUCO PRONTO/NECTAR;suco campo largo uva lev 250 ml;281;281;SUCO PRONTO/NECTAR
6851;ESC DENT BAS DENTALCLEAN METALLI MACIA LV3PG2;ESCOVA DENTAL ADULTO;esc dent bas dentalclean metalli macia lv3pg2;112;112;ESCOVA DENTAL ADULTO
4487;CHA RISTON HERBAL CEREJA/JASMINE CX/25;CHÁ;cha riston herbal cerejajasmine cx25;67;67;CHÁ
7022;ESM BEAUTY COLOR TRANSP GRAD DUQ 1UN;ESMALTE;esm beauty color transp grad duq 1 un;116;116;ESMALTE
7410;MIST BOLO FINNA 450G BAUNILHA;FARINÁCEO;mist bolo finna 450 g baunilha;124;124;FARINÁCEO
7937;NUTRIATIVA BANANA PASSA 100g;FRUTA SECA;nutriativa banana passa 100 g;136;136;FRUTA SECA
14447;SABON LIQ REXONA MEN ACTIVE 200ML;SABONETE LÍQUIDO;sabon liq rexona men active 200 ml;261;261;SABONETE LÍQUIDO
13172;CHUPETA LILLO FUNNY ORTO SIL MENINO TAM 2;PUERICULTURA;chupeta lillo funny orto sil menino tam 2;245;245;PUERICULTURA
11355;AMERICANO ACASA 45X30 LR SPA419;MESA;americano acasa 45x30 lr spa419;198;198;MESA
3430;CAFE MERIDIANO EXPRESSO TORRADO 250G;CAFÉ;cafe meridiano expresso torrado 250 g;54;54;CAFÉ
10494;MANTEIGA BUFALA BOM DESTINO 200G-PT C/ SAL;MANTEIGA;manteiga bufala bom destino 200 g-pt com sal;187;187;MANTEIGA
13460;RIC PAO HAMBURGUER 250g;PÃES;ric pao hamburguer 250 g;247;247;PÃES
2015;AZEITONA VDE S/CAR kg GRANEL;AZEITONA;azeitona vde sem car kg granel;36;36;AZEITONA
9166;SEM. FELTRIN MAXIXE DO NORTE;JARDINAGEM PLANTAR;sem feltrin maxixe do norte;157;157;JARDINAGEM PLANTAR
7122;ESM COLORAMA 1UN-SM FORTALECEDOR;ESMALTE;esm colorama 1 un-sm fortalecedor;116;116;ESMALTE
4657;COBER SORVETE KENKO CARAMELO 250ML;COBERTURA;cober sorvete kenko caramelo 250 ml;70;70;COBERTURA
7345;FARINHA ROSCA PREZUNIC 500G;FARINÁCEO;farinha rosca prezunic 500 g;124;124;FARINÁCEO
17716;BATATA CONG PALITO LAR 400G;VEGETAL CONGELADO;batata cong palito lar 400 g;307;307;VEGETAL CONGELADO
824;RACAO FARO 1kg GATOS FILHOTE LEITE .;ALIMENTO PARA GATOS;racao faro 1 kg gatos filhote leite ;13;13;ALIMENTO PARA GATOS
13794;REFRESCO TORNADO 20G UVA;REFRESCO EM PÓ;refresco tornado 20 g uva;251;251;REFRESCO EM PÓ
15118;GRANOLA VITAPAO 1KG-PC;SAUDÁVEL;granola vitapao 1 kg-pc;272;272;SAUDÁVEL
4140;CERV SKOL BEATS SENSES LT 473ML;CERVEJA;cerv skol beats senses lt 473 ml;63;63;CERVEJA
4038;CADEIRA TRAMONTINA SISSI C/B BC 92045010;CAMPING/PESCA;cadeira tramontina sissi com b bc 92045010;59;59;CAMPING/PESCA
1805;FIESTA SEARA TEMP ASSA FACIL KG;AVE RESFRIADA;fiesta seara temp assa facil kg;33;33;AVE RESFRIADA
1728;OLEO P/MOTO4t SELENIA ESPRINT 1L;AUTOMOTIVO ÓLEOS/ADITIVOS/FLUIDOS;oleo para moto4t selenia esprint 1 l;31;319;ÓLEO
1315;VELA REGINA C/GLITER ROSA N.05;ARTIGOS PARA FESTAS;vela regina com gliter rosa n05;23;23;ARTIGOS PARA FESTAS
1224;ARROZ ALBARUSKA PILAO 1KG TP1;ARROZ;arroz albaruska pilao 1 kg tp1;22;22;ARROZ
12356;PAPEL MANTEIGA ROLO 1X20 ROLO-66667231;PAPEIS;papel manteiga rolo 1x20 rolo-66667231;221;221;PAPEIS
4722;COGUMELO TIO PACO FAT 200G;COGUMELO;cogumelo tio paco fat 200 g;72;72;COGUMELO
4754;T.FLEURY KIT COLOR.ESP. (7.0) LOURO;COLORAÇÃO FEMININA;tfleury kit coloresp 70 louro;74;74;COLORAÇÃO FEMININA
16840;SALADEIRA QUADRADA 750ml EVO IMBUIA;UTENSÍLIOS DE MADEIRA;saladeira quadrada 750 ml evo imbuia;297;300;UTENSÍLIOS DE PLÁSTICO
10237;D.SANIT DESODOR PEDRA 25G C/REDE LAVANDA FRESH;LIMPEZA SANITÁRIA;dsanit desodor pedra 25 g com rede lavanda fresh;180;180;LIMPEZA SANITÁRIA
17575;PORTA FILTRO NERKO AVULSO 103 .;UTENSÍLIOS PARA CAFÉ;porta filtro nerko avulso 103 ;304;304;UTENSÍLIOS PARA CAFÉ
13233;ESSEN AROMATEC 120ml BABY;PURIFICADOR DE AR;essen aromatec 120 ml baby;246;246;PURIFICADOR DE AR
16711;BANDEJA REDONDA INOX 30CM;UTENSÍLIOS DE INOX/ALUMÍNIO;bandeja redonda inox 30 cm;296;296;UTENSÍLIOS DE INOX/ALUMÍNIO
9623;TOMATE ITALIANO SOLO VIVO BENASSI 500G;LEGUMES;tomate italiano solo vivo benassi 500 g;166;166;LEGUMES
12588;LOMBO BACALHAU NETUNO DESSAL 1KG;PEIXE RESFRIADO;lombo bacalhau netuno dessal 1 kg;228;228;PEIXE RESFRIADO
15671;SORVETE PERFETTO BIG ROLL FLOCOS 590G;SORVETE;sorvete perfetto big roll flocos 590 g;278;278;SORVETE
9957;LIMPA VIDROS UAU RF 500ML;LIMPA VIDROS;limpa vidros uau rf 500 ml;174;174;LIMPA VIDROS
8805;LAMPADA AVANT PERA LED BIVOLT 7W;ILUMINAÇÃO;lampada avant pera led bivolt 7w;153;153;ILUMINAÇÃO
147;Protetor lava sutia / roupas finas  com 2 pecas;ACESSÓRIOS DE LAVANDERIA;protetor lava sutia roupas finas com 2 pecas;2;164;LAVA ROUPA LÍQUIDO
5531;COXINHA DELICIA DO LIBANO K;COXINHA;coxinha delicia do libano k;82;82;COXINHA
3773;SANDALIA HAVAIANAS BABY DISNEY CLASSICS BG PALHA 17/18;CALÇADO INFANTIL;sandalia havaianas baby disney classics bg palha 1718;57;57;CALÇADO INFANTIL
6818;ENFEITE NATAL BOLAS VM CX C/7 SDA1608P;ENFEITES DE NATAL;enfeite natal bolas vm cx com 7 sda1608p;109;109;ENFEITES DE NATAL
7370;FARIN PREF BIJU 500g;FARINÁCEO;farin pref biju 500 g;124;124;FARINÁCEO
12661;PERFUME BENETTON LIVE FREE EDT 80ML;PERFUMAÇÃO;perfume benetton live free edt 80 ml;230;230;PERFUMAÇÃO
14907;BATATA PALHA PRATIC LEVE 120G;SALGADINHO E APERITIVO;batata palha pratic leve 120 g;269;269;SALGADINHO E APERITIVO
13181;PRENDEDOR CHUPETA ANE BABY BATON CORRENTE ROSA;PUERICULTURA;prendedor chupeta ane baby baton corrente rosa;245;245;PUERICULTURA
10638;MASCARA CILIOS MAYB TOTAL TEMP PROVA PT;MAQUIAGEM;mascara cilios mayb total temp prova pct;189;189;MAQUIAGEM
2188;TOALHA DE ROSTO -DAISO;BANHO;toalha de rosto -daiso;39;39;BANHO
10450;LUVA LIMPPANO MULTIUSO FINA M PCT C/10UN;LUVA;luva limppano multiuso fina m pct com 10 un;185;185;LUVA
13475;PAO LEITE SL 300G;PÃES;pao leite sl 300 g;247;247;PÃES
480;PEITORAL HAPPY AU TRIANG AZ/CZ N3;ACESSÓRIOS PET;peitoral happy au triang azcz n3;7;7;ACESSÓRIOS PET
2358;BARRA CEREAL TRIO ZERO 60G, BAN/CHOC;BARRA DE CEREAL;barra cereal trio zero 60 g banchoc;40;40;BARRA DE CEREAL
16501;FINAS ERVAS C DAS ERVAS 15G;TRANSFORMAÇÃO CABELOS;finas ervas das ervas 15 g;292;79;CONDIMENTO NATURAL
9757;LEITE COND CAMPOS DO JORDAO LT 395G;LEITE CONDENSADO;leite cond campos do jordao lt 395 g;167;167;LEITE CONDENSADO
7922;MIX FRUTAS SECAS 400GR LA VIOLETERA .;FRUTA SECA;mix frutas secas 400 gr la violetera ;136;143;GRÃOS/CEREAIS
13769;QUEIJO RALADO PROVANCE 100G GROSSO;QUEIJO;queijo ralado provance 100 g grosso;250;250;QUEIJO
6923;ESCOVA DENTAL PLUS CONDOR LV3 PG2;ESCOVA DENTAL ADULTO;escova dental plus condor lv3 pg2;112;112;ESCOVA DENTAL ADULTO
6148;DESINF JUA 1L LAVANDA;DESINFETANTE;desinf jua 1 l lavanda;97;97;DESINFETANTE
3398;CAFE SANTO ANDRE 500G TR/MD (ALMOF);CAFÉ;cafe santo andre 500 g trmd almof;54;54;CAFÉ
615;Alimento Avitrim Coveli para Papagaios e Araras - 500g - 1 unidade;ALIMENTO PARA AVES;alimento avitrim coveli para papagaios e araras - 500 g - 1 unidade;11;11;ALIMENTO PARA AVES
17450;COPO KROSNO CR 360ML;UTENSÍLIOS DE VIDRO;copo krosno cr 360 ml;303;303;UTENSÍLIOS DE VIDRO
10161;SEBIUM PORE REFINER FLUIDO BIODERMA 30ML;LIMPEZA DO ROSTO;sebium pore refiner fluido bioderma 30 ml;178;178;LIMPEZA DO ROSTO
12413;PH FD PERSONAL VIP NEUTRO 4X30M;PAPEL HIGIÊNICO;ph fd personal vip neutro 4x30m;222;222;PAPEL HIGIÊNICO
9347;KIT TRA LA LA BABY BEM ESTAR (SHA+SAB+COL);KIT CABELOS INFANTIL;kit tra la la baby bem estar sha+sab+col;160;274;SHAMPOO INFANTIL
3088;PICANHA FATIADA kg;BOVINO RESFRIADO;picanha fatiada kg;48;48;BOVINO RESFRIADO
16089;LOMBO SEARA BARBECUE 1KG;SUÍNO RESFRIADO;lombo seara barbecue 1 kg;284;284;SUÍNO RESFRIADO
15190;SH PANTENE REPAR REJUVENESCEDORA 200ML;SHAMPOO;sh pantene repar rejuvenescedora 200 ml;273;273;SHAMPOO
5843;CR DENT CREME CLOSE UP EXTRA WHITENING FRESH 90G;CREME/GEL DENTAL ADULTO;cr dent creme close up extra whitening fresh 90 g;87;87;CREME/GEL DENTAL ADULTO
9527;LAVA ROUPA OMO PCT 500G MULTIACAO;LAVA ROUPA PÓ;lava roupa omo pct 500 g multiacao;165;165;LAVA ROUPA PÓ
790;ALIM P GATOS FRISKIES MOLHO 85G, PERU;ALIMENTO PARA GATOS;alim p gatos friskies molho 85 g peru;13;13;ALIMENTO PARA GATOS
6959;Escova Dental Elétrica Infantil Health Pro Multilaser Astronauta  - HC169;ESCOVA DENTAL INFANTIL;escova dental eltrica infantil health pro multilaser astronauta - hc169;113;113;ESCOVA DENTAL INFANTIL
914;AMAC ROUPA ALPES AZUL 2L;AMACIANTE;amac roupa alpes azul 2 l;16;16;AMACIANTE
4274;CERVEJA BRAHMA SHRINK 550ML-LT;CERVEJA;cerveja brahma shrink 550 ml-lt;63;63;CERVEJA
